Mixture	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF	P-value	Correlation	RMSE
mirror_db_sample84	0.34378401898519872	0.14798933679815601	0.03833072741991624	0.07843299442071916	0.03370383823214727	0.11144121942827311	0.08473778431737716	0.02461105554183184	0.09720339339366037	0.03976563146272009	0.00000000000000000	0.99396256888510259	0.33304474227057879
mirror_db_sample85	0.36213217531566599	0.16080054520621204	0.04666708130812063	0.00312560815026361	0.02905868809635544	0.10492355489958401	0.13576187575639548	0.02735800043351960	0.10870975560135564	0.02146271523252760	0.00000000000000000	0.99029379248999838	0.34572883167395346
mirror_db_sample86	0.37383684895442004	0.10232454997027751	0.06064865011289879	0.00902153429818198	0.02481436921612057	0.09066709874117992	0.20236101412862581	0.02238251382842401	0.10194511992074130	0.01199830082913001	0.00000000000000000	0.98460606504279402	0.35628618044188232
mirror_db_sample87	0.32447438492833924	0.14387815445352667	0.10405847418135213	0.01666991933704697	0.01630808076212121	0.08973903053472025	0.14038389647036545	0.00659921266049989	0.08790131631221181	0.06998753035981649	0.00000000000000000	0.99339753638525807	0.35093585374025671
mirror_db_sample88	0.33565227464950353	0.14904926458476606	0.10435408257402025	0.04383429570773479	0.01998287773442579	0.13883758233640861	0.04241091982742131	0.00779328436482718	0.11222289985657637	0.04586251836431603	0.00000000000000000	0.98935478369978258	0.29141526144897767
mirror_db_sample89	0.33149312206985049	0.16705037756848728	0.09174319684858021	0.05370017489007647	0.02017858839034108	0.14951929679813597	0.07507279364167316	0.00665681121777109	0.07883573475312583	0.02574990382195836	0.00000000000000000	0.98613965826122552	0.29089546416676154
mirror_db_sample90	0.30964295844943956	0.14574883304892988	0.05272526356117000	0.05622776330996675	0.02049167509737297	0.12686158033024580	0.16055331351409827	0.01586098538014048	0.08992583580094625	0.02196179150768992	0.00000000000000000	0.98538015685837377	0.34188135755983418
mirror_db_sample91	0.34877820272256826	0.12611971641448011	0.10205867256290310	0.06350851775716028	0.00561846518638587	0.09616813981623973	0.07930746691827049	0.03949410419547796	0.11534360688154158	0.02360310754497260	0.00000000000000000	0.98415073128783559	0.34235062287988888
mirror_db_sample92	0.44570831828264540	0.15143468089031709	0.08588335689257383	0.01374094826433549	0.02565898816838631	0.11423292074539582	0.05870908661134887	0.01818941701842936	0.07551502130979774	0.01092726181677013	0.00000000000000000	0.99205666586655605	0.27270657521139596
mirror_db_sample93	0.29975673822346893	0.14065584132751791	0.10363410684010875	0.01346259957951195	0.00168068278398085	0.10188945557207733	0.09556323615371362	0.03946397146963963	0.12728463543199153	0.07660873261798951	0.00000000000000000	0.99246166387537949	0.34176511625121592
mirror_db_sample94	0.35152412922598458	0.13459856208766205	0.08581528532358182	0.09095948901954398	0.00140590227798436	0.08160274078561514	0.08921260655082718	0.01044819158823681	0.13016355065504628	0.02426954248551793	0.00000000000000000	0.98708609144973525	0.36727743690021686
mirror_db_sample95	0.42735182232561447	0.15374291053768946	0.08190079159274556	0.00000000000000000	0.03792929029935219	0.10577909699908779	0.09614419446754141	0.00000000000000000	0.09553081251087725	0.00162108126709189	0.00000000000000000	0.99323977719962220	0.29957300683027338
mirror_db_sample96	0.39994216018818246	0.09218957447733125	0.08515934117634903	0.06444570718188525	0.02845829269417805	0.12807216126251383	0.07034370825039335	0.01827216940332814	0.08979774969059252	0.02331913567524618	0.00000000000000000	0.98915404474950108	0.27375212019291351
mirror_db_sample97	0.40294549864490492	0.11665617507387092	0.06860457881851068	0.05295871566233716	0.02781982038956206	0.11805430474587274	0.09220654730092837	0.01593348550882733	0.07923916824605978	0.02558170560912602	0.00000000000000000	0.92761462550064888	0.42092013822911789
mirror_db_sample98	0.33158450448414761	0.16624849907991240	0.06180193412902521	0.00926538098507870	0.04044589001147990	0.08931740674687466	0.14117112420173178	0.03522860415741464	0.10957089503461583	0.01536576116971919	0.00000000000000000	0.99155157555517526	0.37142607729511129
mirror_db_sample99	0.32583116072929880	0.09323527648461025	0.09569833846685495	0.10082135457425120	0.02133668492877125	0.10904174217687379	0.11866666661882368	0.00314506622966047	0.11671001629846602	0.01551369349238964	0.00000000000000000	0.99187656129643109	0.32574672050249198
mirror_db_sample100	0.40295004467981094	0.08334142745211214	0.09484578459810948	0.10216452152092313	0.00749145236136039	0.11234489487089891	0.05912649447941803	0.00000000000000000	0.11292464566324210	0.02481073437412498	0.00000000000000000	0.98147855152897723	0.31015948713752561
