Mixture	iCAF	mCAF	tpCAF	vCAF	Pericyte	apCAF	rCAF	P-value	Correlation	RMSE
mirror_db_sample78	0.32872360391217537	0.18064607779193984	0.23810134484461318	0.04969130929610583	0.11030266744356326	0.09253499671160260	0.00000000000000000	0.00000000000000000	0.99702921777094267	0.42792062698811800
mirror_db_sample79	0.37338569379681241	0.13838417997903166	0.24939806878109716	0.08344538946828667	0.02519499498824580	0.13019167298652648	0.00000000000000000	0.00000000000000000	0.99731705870123011	0.38484606072176902
mirror_db_sample80	0.38028802206920231	0.14884798595963325	0.10342854924356924	0.13148830959464791	0.11904443598848473	0.11690269714446253	0.00000000000000000	0.00000000000000000	0.99589001691001600	0.43801817224827866
mirror_db_sample81	0.30698861260680332	0.17262922540141451	0.31400588981009325	0.00000000000000000	0.08085336232560368	0.11629781644415839	0.00922509341192679	0.00000000000000000	0.99610763128113444	0.40537856465847716
mirror_db_sample82	0.42668035805244409	0.11216944235157633	0.18517730757937848	0.10766452261221511	0.04529449133034642	0.11995638563458697	0.00305749243945267	0.00000000000000000	0.99732020301984603	0.39797779489608009
mirror_db_sample83	0.33813087987687651	0.13528123134616460	0.22575110365188480	0.06638317102398152	0.08270096371180705	0.15175265038928540	0.00000000000000000	0.00000000000000000	0.99640726199674590	0.40551995940190488
mirror_db_sample84	0.41034275163776729	0.11817561683106136	0.26323976628491802	0.05303626639035661	0.03555429687208409	0.10386083078449726	0.01579047119931547	0.00000000000000000	0.99741586078423783	0.39192121141171649
mirror_db_sample85	0.34849074248888517	0.04728441199653673	0.26182552096985334	0.12019421450277955	0.04969397854632941	0.17251113149561587	0.00000000000000000	0.00000000000000000	0.99504376367567349	0.35717705613419032
mirror_db_sample86	0.27890676615138477	0.16449462739434345	0.25782663877487971	0.03330655375857348	0.14150175600348339	0.09384104922220932	0.03012260869512590	0.00000000000000000	0.99491795375074787	0.43889314723673156
mirror_db_sample87	0.36475510581123866	0.13025310765692236	0.17853280334011543	0.09119993300038744	0.08639382485036896	0.14142891771537933	0.00743630762558796	0.00000000000000000	0.99623495287916808	0.41767244680530674
mirror_db_sample88	0.41187208621959615	0.13590825317549890	0.22984884726214908	0.09788885799558217	0.00000000000000000	0.12448195534717366	0.00000000000000000	0.00000000000000000	0.99783491918005607	0.38111034418639883
mirror_db_sample89	0.37157692300515005	0.10071749877961600	0.21195512753848320	0.09448470736226991	0.05836286476264804	0.16290287855183280	0.00000000000000000	0.00000000000000000	0.99677225524646407	0.38891805617343322
mirror_db_sample90	0.30941557955902443	0.09829877946023442	0.23083954693192071	0.09751053297629160	0.07801369636006579	0.12576762962298788	0.06015423508947523	0.00000000000000000	0.99607913029756767	0.40254981316695104
mirror_db_sample91	0.39383771471245360	0.10600586050558979	0.17654934335007663	0.13728277500540775	0.04746875670007716	0.13885554972639497	0.00000000000000000	0.00000000000000000	0.99760543193523799	0.38965114307851106
mirror_db_sample92	0.38302539497009025	0.13346255475269800	0.17899050818793344	0.08435041284452227	0.03620607048204347	0.12950752312762023	0.05445753563509229	0.00000000000000000	0.99601094554006098	0.41809468821080065
mirror_db_sample93	0.36199960047775193	0.12304209814743272	0.15093141372704627	0.10232427560471095	0.10276398067830962	0.13362604701534345	0.02531258434940507	0.00000000000000000	0.99677575097831184	0.42892879212210366
mirror_db_sample94	0.45623508345745389	0.07597820705478896	0.18980282408802368	0.10018567865751735	0.02697027348085120	0.12205049792951667	0.02877743533184836	0.00000000000000000	0.99740233897918595	0.39178554942068428
mirror_db_sample95	0.38666447363369383	0.10917231872020482	0.17664552794064900	0.06524431942879305	0.06599020165852264	0.17514576627312767	0.02113739234500902	0.00000000000000000	0.99580657797614891	0.41395009566087287
mirror_db_sample96	0.30436895510862849	0.14892541679091165	0.25382147762991586	0.05621079617550685	0.10689456953013603	0.11397218320654644	0.01580660155835473	0.00000000000000000	0.99639828919273288	0.41740351410404286
mirror_db_sample97	0.34660501743609518	0.09412623717850170	0.21346800464755425	0.04397733605224988	0.15769535878551183	0.13815628993508494	0.00597175596500219	0.00000000000000000	0.99601444402850103	0.42398089862697602
mirror_db_sample98	0.37035745990052488	0.09274567109728318	0.20158765107314977	0.14539279442422157	0.06295354468740523	0.12696287881741533	0.00000000000000000	0.00000000000000000	0.99615862906758268	0.38501309813230428
mirror_db_sample99	0.40435984112585249	0.11062963144153762	0.15661427233719044	0.13464566732030248	0.03748887521672746	0.15626171255838947	0.00000000000000000	0.00000000000000000	0.99628073899082714	0.39465907719548826
mirror_db_sample100	0.33093769787668026	0.14238694077168132	0.28798547028250060	0.04761896626556821	0.10457294566089130	0.08649797914267826	0.00000000000000000	0.00000000000000000	0.99615929595466735	0.40580326410462636
