"","apCAF","iCAF","mCAF","Pericyte","rCAF","tpCAF","vCAF"
"mirror_db_sample87",0.0381881016988981,0.328362402071672,0.32371543469618,0.120934106525033,0.0117152139942427,0.143246340371975,0.0338384006420003
"mirror_db_sample88",0.00122877965276451,0.300312747224511,0.33374931918158,0.123728618083671,0.0046700656278768,0.199758982669346,0.0365514875602515
"mirror_db_sample89",0.0200181964146048,0.350360545713486,0.347635307886647,0.093525089865883,0.000268739432414666,0.112912524142612,0.0752795965443527
"mirror_db_sample90",0.0439988176804618,0.30107389375355,0.319911269577621,0.103233623902524,0.0350027189382661,0.139282432149905,0.0574972439976722
"mirror_db_sample91",0.0169953659354992,0.307988699536884,0.349006801633723,0.105014925517629,0.00226437970789614,0.15537384746924,0.0633559801991293
"mirror_db_sample92",0.0141512799100337,0.315747845263944,0.307775439377505,0.124395069171881,0.0322887778590846,0.164543267514931,0.0410983209026207
"mirror_db_sample93",0.0425115365923955,0.329293979098765,0.327192049346416,0.119273961249779,0.0177954969073835,0.114193192804261,0.0497397840010002
"mirror_db_sample94",0.0130154562210487,0.297895096049432,0.369961943818164,0.0939828343554913,0.0219819869965743,0.173787376868097,0.0293753056911934
"mirror_db_sample95",0.0258419754424309,0.382834951220229,0.343075794319896,0.103022772982069,0.0146440664732532,0.10109773388589,0.0294827056762318
"mirror_db_sample96",0.049072720008518,0.316346015412476,0.314125549533015,0.137392735650756,0.0139441656851746,0.119422012454671,0.0496968012553886
"mirror_db_sample97",0.0646320353017319,0.325830162960875,0.307439562724541,0.0810740930767232,0.0067998565550421,0.179073895078233,0.0351503943028535
"mirror_db_sample98",0.0328085961002978,0.325630143427908,0.339834037742433,0.11956782845158,0.00536584380694465,0.11911718345881,0.057676367012026
"mirror_db_sample99",0.0153263994483856,0.325662032704335,0.346690849035875,0.113482048071909,0.00449703345072147,0.117217201385504,0.0771244359032701
"mirror_db_sample100",0.0468550495544925,0.255956029328039,0.338164107349818,0.133386682769053,1.64814418787352e-22,0.210633218344217,0.0150049126543813
